Number,Label,Charge,SybylType,Xfrac + ESD,Yfrac + ESD,Zfrac + ESD,Symm. op.
1,C1,0,C.2,0.0842(9),0.0203(7),0.3373(7),"x,y,z"
2,H1,0,H,0.1272,0.0630,0.4615,"x,y,z"
3,C2,0,C.2,0.1147(8),0.1718(6),0.2280(7),"x,y,z"
4,H2,0,H,0.1790,0.3157,0.2791,"x,y,z"
5,C3,0,C.2,0.0486(7),0.1098(6),0.0371(7),"x,y,z"
6,C4,0,C.2,0.0773(10),0.2630(8),-0.0797(9),"x,y,z"
7,H4,0,H,0.1412,0.4077,-0.0311,"x,y,z"
8,C5,0,C.2,-0.0121(11),-0.1998(7),0.2623(9),"x,y,z"
9,H5,0,H,-0.0310,-0.3016,0.3377,"x,y,z"
10,C1,0,C.2,-0.0842(9),-0.0203(7),-0.3373(7),"-x,-y,-z"
11,H1,0,H,-0.1272,-0.0630,-0.4615,"-x,-y,-z"
12,C2,0,C.2,-0.1147(8),-0.1718(6),-0.2280(7),"-x,-y,-z"
13,H2,0,H,-0.1790,-0.3157,-0.2791,"-x,-y,-z"
14,C3,0,C.2,-0.0486(7),-0.1098(6),-0.0371(7),"-x,-y,-z"
15,C4,0,C.2,-0.0773(10),-0.2630(8),0.0797(9),"-x,-y,-z"
16,H4,0,H,-0.1412,-0.4077,0.0311,"-x,-y,-z"
17,C5,0,C.2,0.0121(11),0.1998(7),-0.2623(9),"-x,-y,-z"
18,H5,0,H,0.0310,0.3016,-0.3377,"-x,-y,-z"
19,C1,0,C.2,0.0842(9),0.0203(7),1.3373(7),"x,y,1+z"
20,H1,0,H,0.1272,0.0630,1.4615,"x,y,1+z"
21,C2,0,C.2,0.1147(8),0.1718(6),1.2280(7),"x,y,1+z"
22,H2,0,H,0.1790,0.3157,1.2791,"x,y,1+z"
23,C3,0,C.2,0.0486(7),0.1098(6),1.0371(7),"x,y,1+z"
24,C4,0,C.2,0.0773(10),0.2630(8),0.9203(9),"x,y,1+z"
25,H4,0,H,0.1412,0.4077,0.9689,"x,y,1+z"
26,C5,0,C.2,-0.0121(11),-0.1998(7),1.2623(9),"x,y,1+z"
27,H5,0,H,-0.0310,-0.3016,1.3377,"x,y,1+z"
28,C1,0,C.2,-0.0842(9),-0.0203(7),0.6627(7),"-x,-y,1-z"
29,H1,0,H,-0.1272,-0.0630,0.5385,"-x,-y,1-z"
30,C2,0,C.2,-0.1147(8),-0.1718(6),0.7720(7),"-x,-y,1-z"
31,H2,0,H,-0.1790,-0.3157,0.7209,"-x,-y,1-z"
32,C3,0,C.2,-0.0486(7),-0.1098(6),0.9629(7),"-x,-y,1-z"
33,C4,0,C.2,-0.0773(10),-0.2630(8),1.0797(9),"-x,-y,1-z"
34,H4,0,H,-0.1412,-0.4077,1.0311,"-x,-y,1-z"
35,C5,0,C.2,0.0121(11),0.1998(7),0.7377(9),"-x,-y,1-z"
36,H5,0,H,0.0310,0.3016,0.6623,"-x,-y,1-z"
37,C1,0,C.2,0.0842(9),1.0203(7),0.3373(7),"x,1+y,z"
38,H1,0,H,0.1272,1.0630,0.4615,"x,1+y,z"
39,C2,0,C.2,0.1147(8),1.1718(6),0.2280(7),"x,1+y,z"
40,H2,0,H,0.1790,1.3157,0.2791,"x,1+y,z"
41,C3,0,C.2,0.0486(7),1.1098(6),0.0371(7),"x,1+y,z"
42,C4,0,C.2,0.0773(10),1.2630(8),-0.0797(9),"x,1+y,z"
43,H4,0,H,0.1412,1.4077,-0.0311,"x,1+y,z"
44,C5,0,C.2,-0.0121(11),0.8002(7),0.2623(9),"x,1+y,z"
45,H5,0,H,-0.0310,0.6984,0.3377,"x,1+y,z"
46,C1,0,C.2,-0.0842(9),0.9797(7),-0.3373(7),"-x,1-y,-z"
47,H1,0,H,-0.1272,0.9370,-0.4615,"-x,1-y,-z"
48,C2,0,C.2,-0.1147(8),0.8282(6),-0.2280(7),"-x,1-y,-z"
49,H2,0,H,-0.1790,0.6843,-0.2791,"-x,1-y,-z"
50,C3,0,C.2,-0.0486(7),0.8902(6),-0.0371(7),"-x,1-y,-z"
51,C4,0,C.2,-0.0773(10),0.7370(8),0.0797(9),"-x,1-y,-z"
52,H4,0,H,-0.1412,0.5923,0.0311,"-x,1-y,-z"
53,C5,0,C.2,0.0121(11),1.1998(7),-0.2623(9),"-x,1-y,-z"
54,H5,0,H,0.0310,1.3016,-0.3377,"-x,1-y,-z"
55,C1,0,C.2,0.0842(9),1.0203(7),1.3373(7),"x,1+y,1+z"
56,H1,0,H,0.1272,1.0630,1.4615,"x,1+y,1+z"
57,C2,0,C.2,0.1147(8),1.1718(6),1.2280(7),"x,1+y,1+z"
58,H2,0,H,0.1790,1.3157,1.2791,"x,1+y,1+z"
59,C3,0,C.2,0.0486(7),1.1098(6),1.0371(7),"x,1+y,1+z"
60,C4,0,C.2,0.0773(10),1.2630(8),0.9203(9),"x,1+y,1+z"
61,H4,0,H,0.1412,1.4077,0.9689,"x,1+y,1+z"
62,C5,0,C.2,-0.0121(11),0.8002(7),1.2623(9),"x,1+y,1+z"
63,H5,0,H,-0.0310,0.6984,1.3377,"x,1+y,1+z"
